docID	semanticType	characterSpan
essay019	hypothetical_instance	801:847
essay019	hypothetical_instance	849:920
essay019	hypothetical_instance	930:961
essay019	hypothetical_instance	973:1051
essay019	value	1053:1149
essay019	hypothetical_instance	1151:1323
essay019	hypothetical_instance	1325:1393
essay019	hypothetical_instance	1395:1506
essay019	hypothetical_instance	1521:1593
essay020	policy	192:302
essay020	policy	1848:1942
essay020	policy	1698:1846
essay020	policy	703:856
essay020	common_ground	312:426
essay020	statistics	428:536
essay020	common_ground	538:701
essay020	policy	1222:1348
essay020	statistics	866:971
essay020	real_example	973:1130
essay020	statistics	1149:1205
essay020	policy	1385:1492
essay020	policy	1494:1659
essay021	value	325:384
essay021	fact	1701:1769
essay021	value	118:207
essay021	common_ground	218:248
essay021	common_ground	250:308
essay021	fact	479:569
essay021	value	1097:1167
essay021	value	1569:1601
essay021	common_ground	407:466
essay021	hypothetical_instance	571:714
essay021	real_example	716:795
essay021	real_example	797:909
essay021	statistics	932:984
essay021	statistics	993:1095
essay021	common_ground	1169:1295
essay021	common_ground	1297:1398
essay021	common_ground	1409:1454
essay021	common_ground	1479:1567
essay022	value	2029:2252
essay022	value	1968:2027
essay022	value	977:1118
essay022	real_example	618:771
essay022	common_ground	791:831
essay022	common_ground	848:960
essay022	value	1201:1342
essay022	common_ground	1344:1408
essay022	common_ground	1428:1552
essay022	hypothetical_instance	1605:1690
essay022	real_example	1699:1812
essay023	value	216:302
essay023	value	1831:1948
essay023	policy	1959:2014
essay023	value	410:497
essay023	common_ground	541:669
essay023	real_example	686:837
essay023	hypothetical_instance	853:967
essay023	value	1002:1047
essay023	statistics	1049:1255
essay023	fact	1304:1393
essay023	common_ground	1395:1431
essay023	hypothetical_instance	1437:1540
essay023	value	1552:1638
essay023	real_example	1640:1768
essay024	value	1480:1530
essay024	value	1416:1478
essay024	value	311:373
essay024	statistics	375:521
essay024	common_ground	533:617
essay024	value	694:795
essay024	statistics	811:886
essay024	real_example	888:973
essay024	value	984:1093
essay024	testimony	1095:1239
essay024	hypothetical_instance	1262:1299
essay024	hypothetical_instance	1308:1390
essay024	hypothetical_instance	619:663
essay025	value	378:508
essay025	value	524:608
essay025	common_ground	610:712
essay025	hypothetical_instance	728:858
essay025	hypothetical_instance	873:960
essay025	statistics	1002:1168
essay025	statistics	1184:1368
essay025	value	962:1000
essay025	value	1484:1587
essay025	hypothetical_instance	1379:1471
essay025	hypothetical_instance	1597:1700
essay026	value	193:383
essay026	value	104:183
essay026	value	911:977
essay026	common_ground	501:676
essay026	statistics	683:736
essay026	common_ground	752:903
essay026	fact	979:1041
essay026	testimony	1137:1295
essay026	value	1745:1850
essay026	value	1852:1874
essay026	fact	1348:1409
essay026	statistics	1411:1558
essay026	statistics	1564:1719
essay027	value	1598:1656
essay027	fact	1662:1839
essay027	common_ground	979:1121
essay027	common_ground	492:537
essay027	common_ground	553:735
essay027	fact	775:971
essay027	policy	1486:1581
essay027	real_example	1213:1358
essay027	real_example	1368:1473
essay027	value	281:366
essay028	policy	475:635
essay028	value	1722:1754
essay028	value	1756:1818
essay028	value	1857:1943
essay028	policy	678:769
essay028	common_ground	778:837
essay028	hypothetical_instance	839:942
essay028	real_example	957:1095
essay028	value	1115:1207
essay028	common_ground	1209:1305
essay028	fact	1307:1393
essay028	real_example	1408:1466
essay028	real_example	1468:1595
essay028	hypothetical_instance	1597:1692
essay029	value	76:212
essay029	value	214:305
essay029	value	635:701
essay029	value	1439:1521
essay029	value	1355:1434
essay029	hypothetical_instance	364:435
essay029	hypothetical_instance	437:510
essay029	hypothetical_instance	512:629
essay029	value	996:1064
essay029	common_ground	713:862
essay029	hypothetical_instance	864:927
essay029	hypothetical_instance	929:983
essay029	value	1096:1175
essay029	real_example	1177:1338
essay030	value	1123:1232
essay030	common_ground	1236:1301
essay030	policy	1342:1391
essay030	value	1400:1558
essay030	policy	148:316
essay030	fact	318:400
essay030	value	421:570
essay030	hypothetical_instance	572:720
essay030	hypothetical_instance	732:898
essay030	value	900:982
essay030	hypothetical_instance	1005:1108
essay031	policy	358:464
essay031	value	2393:2565
essay031	value	2325:2372
essay031	policy	822:933
essay031	statistics	561:638
essay031	statistics	646:721
essay031	statistics	723:809
essay031	policy	1221:1351
essay031	statistics	945:1020
essay031	common_ground	1022:1098
essay031	statistics	1115:1213
essay031	common_ground	1536:1623
essay031	real_example	1638:1709
essay031	real_example	1711:1860
essay031	common_ground	1868:1925
essay031	common_ground	1927:1985
essay031	value	1387:1507
essay031	statistics	2207:2299
essay031	common_ground	2012:2072
essay031	real_example	2088:2199
essay032	value	664:761
essay032	value	2322:2477
essay032	value	2104:2296
essay032	fact	422:507
essay032	fact	522:640
essay032	value	1071:1174
essay032	common_ground	777:884
essay032	common_ground	886:1069
essay032	real_example	1187:1279
essay032	real_example	1281:1390
essay032	value	1402:1465
essay032	hypothetical_instance	1467:1600
essay032	common_ground	1602:1732
essay032	value	1741:1787
essay032	common_ground	1789:1899
essay032	real_example	1901:2087
essay033	value	1355:1460
essay033	common_ground	453:612
essay033	value	320:435
essay033	value	647:738
essay033	statistics	740:926
essay033	common_ground	941:1113
essay033	fact	1172:1236
essay033	statistics	1244:1338
essay034	policy	337:381
essay034	policy	1541:1572
essay034	value	1586:1643
essay034	common_ground	1645:1711
essay034	common_ground	1713:1820
essay034	value	837:914
essay034	common_ground	941:1027
essay034	common_ground	397:508
essay034	common_ground	680:734
essay034	hypothetical_instance	736:824
essay034	common_ground	510:663
essay034	policy	1094:1151
essay034	hypothetical_instance	1153:1195
essay034	hypothetical_instance	1197:1271
essay034	hypothetical_instance	1286:1339
essay034	hypothetical_instance	1341:1405
essay034	common_ground	1407:1515
essay035	value	183:292
essay035	value	1463:1577
essay035	value	446:586
essay035	common_ground	326:426
essay035	real_example	605:667
essay035	statistics	669:794
essay035	common_ground	801:854
essay035	common_ground	862:902
essay035	common_ground	904:953
essay035	value	1055:1095
essay035	common_ground	1211:1242
essay035	common_ground	1097:1203
essay035	common_ground	986:1032
essay035	common_ground	1244:1357
essay035	hypothetical_instance	1359:1461
essay036	policy	282:323
essay036	policy	1577:1702
essay036	fact	1483:1560
essay036	fact	730:848
essay036	hypothetical_instance	862:919
essay036	statistics	938:1058
essay036	real_example	1075:1192
essay036	fact	599:718
essay036	common_ground	389:491
essay036	real_example	506:594
essay036	fact	1203:1261
essay036	statistics	1263:1357
essay036	statistics	1374:1466
essay037	value	258:384
essay037	value	2052:2166
essay037	value	1985:2050
essay037	value	1002:1041
essay037	common_ground	640:685
essay037	common_ground	596:638
essay037	common_ground	386:493
essay037	common_ground	495:594
essay037	real_example	699:808
essay037	real_example	810:866
essay037	real_example	877:941
essay037	common_ground	943:1000
essay037	value	1068:1156
essay037	hypothetical_instance	1158:1249
essay037	common_ground	1251:1381
essay037	common_ground	1393:1497
essay037	hypothetical_instance	1499:1568
essay037	real_example	1570:1678
essay037	real_example	1694:1789
essay037	real_example	1791:1860
essay037	real_example	1862:1968
essay038	value	2182:2230
essay038	value	2232:2343
essay038	value	953:1068
essay038	statistics	568:666
essay038	real_example	668:814
essay038	real_example	816:945
essay038	common_ground	1612:1670
essay038	statistics	1672:1732
essay038	common_ground	1251:1366
essay038	value	1080:1249
essay038	real_example	1386:1503
essay038	real_example	1515:1597
essay038	fact	1824:1883
essay038	common_ground	1893:2026
essay038	common_ground	2050:2165
essay039	policy	1542:1583
essay039	fact	437:501
essay039	value	512:559
essay039	real_example	575:641
essay039	common_ground	667:724
essay039	hypothetical_instance	726:798
essay039	value	810:860
essay039	hypothetical_instance	862:991
essay039	hypothetical_instance	993:1090
essay039	value	1101:1157
essay039	real_example	1159:1308
essay039	real_example	1310:1399
essay039	real_example	1411:1499
essay040	value	1977:2064
essay040	value	2066:2210
essay040	common_ground	394:500
essay040	value	856:993
essay040	common_ground	751:844
essay040	common_ground	622:736
essay040	common_ground	502:607
essay040	value	1005:1098
essay040	statistics	1100:1290
essay040	common_ground	1298:1495
essay040	value	1505:1570
essay040	common_ground	1580:1683
essay040	hypothetical_instance	1685:1799
essay040	value	1811:1940
essay041	value	388:506
essay041	hypothetical_instance	649:772
essay041	common_ground	508:634
essay041	common_ground	791:880
essay041	common_ground	882:951
essay041	value	1295:1383
essay041	hypothetical_instance	1213:1282
essay041	hypothetical_instance	966:1202
essay041	value	1396:1677
essay042	value	1562:1648
essay042	value	1665:1769
essay042	value	1776:1856
essay042	fact	346:423
essay042	value	1055:1203
essay042	common_ground	425:533
essay042	real_example	549:704
essay042	real_example	726:812
essay042	hypothetical_instance	814:1024
essay042	real_example	1205:1361
essay042	hypothetical_instance	1378:1534
essay043	value	461:603
essay043	value	2175:2327
essay043	value	1310:1413
essay043	hypothetical_instance	772:964
essay043	real_example	979:1137
essay043	common_ground	1163:1302
essay043	value	1957:2059
essay043	common_ground	1425:1512
essay043	real_example	1528:1700
essay043	real_example	1702:1794
essay043	common_ground	1796:1942
essay043	fact	2329:2417
essay044	policy	1340:1425
essay044	fact	1427:1525
essay044	policy	834:935
essay044	common_ground	346:387
essay044	common_ground	398:500
essay044	common_ground	502:576
essay044	real_example	584:672
essay044	hypothetical_instance	674:821
essay044	fact	947:1089
essay044	statistics	1104:1201
essay044	statistics	1220:1325
essay045	policy	189:291
essay045	policy	1454:1517
essay045	policy	1519:1633
essay045	policy	293:362
essay045	common_ground	364:409
essay045	hypothetical_instance	411:509
essay045	common_ground	520:625
essay045	common_ground	630:678
essay045	fact	706:790
essay045	hypothetical_instance	792:907
essay045	common_ground	1315:1402
essay045	policy	920:989
essay045	hypothetical_instance	991:1128
essay045	common_ground	1144:1302
essay046	fact	706:795
essay046	common_ground	827:904
essay046	common_ground	955:1207
essay046	common_ground	909:953
essay046	fact	1683:1778
essay046	policy	1542:1666
essay046	common_ground	1228:1313
essay046	common_ground	1315:1488
essay047	policy	1757:1798
essay047	policy	353:408
essay047	policy	643:731
essay047	common_ground	425:504
essay047	statistics	506:641
essay047	value	1107:1191
essay047	statistics	1032:1091
essay047	statistics	861:1017
essay047	common_ground	745:849
essay047	value	1235:1350
essay047	hypothetical_instance	1380:1455
essay047	hypothetical_instance	1487:1595
essay047	hypothetical_instance	1611:1712
essay047	value	1816:1903
essay048	policy	364:506
essay048	fact	1814:1910
essay048	fact	1049:1137
essay048	value	523:613
essay048	real_example	615:803
essay048	real_example	805:929
essay048	common_ground	944:1033
essay048	common_ground	1139:1352
essay048	value	1413:1524
essay048	common_ground	1526:1676
essay048	common_ground	1678:1769
essay049	fact	364:405
essay049	value	428:550
essay049	value	1794:1896
essay049	value	1132:1214
essay049	common_ground	567:718
essay049	hypothetical_instance	720:841
essay049	common_ground	856:966
essay049	hypothetical_instance	968:1105
essay049	fact	1658:1755
essay049	common_ground	1281:1331
essay049	common_ground	1361:1472
essay049	common_ground	1474:1642
essay050	value	1999:2093
essay050	value	1946:1997
essay050	fact	387:455
essay050	common_ground	464:507
essay050	statistics	267:374
essay050	common_ground	535:695
essay050	common_ground	711:757
essay050	hypothetical_instance	769:934
essay050	common_ground	945:1024
essay050	hypothetical_instance	1040:1089
essay050	statistics	1104:1179
essay050	policy	1528:1584
essay050	common_ground	1586:1655
essay050	common_ground	1669:1807
essay050	common_ground	1426:1515
essay050	common_ground	1343:1402
essay050	common_ground	1210:1299
essay051	policy	232:295
essay051	value	1763:1791
essay051	policy	1793:1882
essay051	common_ground	312:367
essay051	policy	369:444
essay051	common_ground	454:513
essay051	common_ground	524:542
essay051	value	544:593
essay051	common_ground	607:658
essay051	real_example	673:776
essay051	common_ground	889:932
essay051	common_ground	824:880
essay051	common_ground	786:822
essay051	value	1143:1286
essay051	common_ground	938:973
essay051	common_ground	982:1059
essay051	common_ground	1067:1128
essay051	fact	1308:1353
essay051	hypothetical_instance	1368:1435
essay051	common_ground	1437:1515
essay051	common_ground	1526:1570
essay051	common_ground	1591:1712
essay052	policy	1537:1648
essay052	value	274:343
essay052	value	983:1090
essay052	common_ground	1097:1132
essay052	common_ground	359:462
essay052	real_example	464:580
essay052	real_example	595:661
essay052	hypothetical_instance	663:746
essay052	common_ground	761:860
essay052	common_ground	862:945
essay052	real_example	1134:1251
essay052	common_ground	1275:1394
essay052	common_ground	1407:1523
essay052	policy	1655:1751
essay053	policy	1591:1678
essay053	policy	1680:1735
essay053	fact	474:598
essay053	real_example	600:717
essay053	real_example	719:877
essay053	real_example	879:924
essay053	value	945:1004
essay053	real_example	1020:1111
essay053	real_example	1113:1175
essay053	value	1190:1309
essay053	real_example	1311:1381
essay053	real_example	1383:1513
essay053	real_example	1515:1568
essay054	fact	317:366
essay054	policy	1469:1568
essay054	value	1360:1463
essay054	common_ground	385:440
essay054	value	453:620
essay054	testimony	631:742
essay054	common_ground	751:812
essay054	value	833:919
essay054	fact	1260:1330
essay054	common_ground	1190:1247
essay054	common_ground	935:1010
essay054	hypothetical_instance	1012:1175
essay055	value	2002:2055
essay055	value	1827:1989
essay055	value	475:546
essay055	common_ground	568:691
essay055	common_ground	693:777
essay055	common_ground	779:926
essay055	common_ground	937:1080
essay055	common_ground	1091:1177
essay055	value	1235:1353
essay055	common_ground	1380:1476
essay055	hypothetical_instance	1564:1725
essay055	hypothetical_instance	1737:1803
essay056	value	226:265
essay056	value	1583:1691
essay056	value	362:451
essay056	common_ground	468:530
essay056	real_example	532:598
essay056	common_ground	606:662
essay056	statistics	674:810
essay056	statistics	827:884
essay056	hypothetical_instance	899:1016
essay056	real_example	1018:1098
essay056	real_example	1100:1199
essay056	common_ground	1214:1275
essay056	fact	1383:1430
essay056	common_ground	1314:1374
essay056	common_ground	1441:1531
essay057	policy	225:315
essay057	fact	180:216
essay057	policy	1786:1835
essay057	value	619:692
essay057	real_example	317:464
essay057	common_ground	466:617
essay057	value	707:804
essay057	common_ground	806:880
essay057	real_example	896:1014
essay057	common_ground	1016:1077
essay057	common_ground	1092:1129
essay057	policy	1364:1450
essay057	testimony	1185:1267
essay057	hypothetical_instance	1269:1362
essay057	value	1837:1887
essay057	value	1889:2001
essay057	policy	1650:1762
essay057	common_ground	1461:1526
essay057	common_ground	1528:1648
essay058	policy	2055:2133
essay058	value	375:413
essay058	common_ground	415:493
essay058	common_ground	495:570
essay058	common_ground	572:627
essay058	real_example	643:663
essay058	real_example	665:751
essay058	statistics	770:850
essay058	value	866:946
essay058	common_ground	948:1021
essay058	common_ground	1023:1131
essay058	common_ground	1142:1190
essay058	value	1419:1465
essay058	common_ground	1273:1351
essay058	common_ground	1353:1417
essay058	common_ground	1480:1569
essay058	common_ground	1571:1624
essay058	policy	1761:1820
essay058	common_ground	1635:1679
essay058	common_ground	1681:1759
essay058	common_ground	1822:1916
essay059	value	252:316
essay059	value	1667:1733
essay059	value	1757:1869
essay059	value	1871:1954
essay059	value	589:652
essay059	common_ground	452:581
essay059	common_ground	318:384
essay059	common_ground	386:450
essay059	fact	847:902
essay059	statistics	664:742
essay059	hypothetical_instance	744:839
essay059	common_ground	917:1028
essay059	fact	1030:1162
essay059	fact	1270:1366
essay059	common_ground	1173:1216
essay059	common_ground	1218:1268
essay059	common_ground	1368:1450
essay059	hypothetical_instance	1465:1548
essay059	common_ground	1550:1665
essay060	value	267:345
essay060	policy	2104:2205
essay060	value	2009:2096
essay060	value	648:750
essay060	hypothetical_instance	765:890
essay060	hypothetical_instance	443:521
essay060	common_ground	523:634
essay060	value	1000:1100
essay060	hypothetical_instance	1102:1163
essay060	hypothetical_instance	1165:1263
essay060	common_ground	1265:1352
essay060	value	1393:1456
essay060	common_ground	1765:1830
essay060	common_ground	1458:1598
essay060	real_example	1614:1702
essay060	real_example	1704:1763
essay060	common_ground	1947:1994
essay060	common_ground	1876:1945
essay061	value	2059:2101
essay061	value	1996:2047
essay061	fact	244:342
essay061	value	801:945
essay061	value	957:1002
essay061	value	1344:1385
essay061	common_ground	344:394
essay061	common_ground	396:470
essay061	real_example	472:539
essay061	common_ground	541:612
essay061	real_example	627:724
essay061	real_example	730:799
essay061	real_example	1004:1085
essay061	real_example	1087:1165
essay061	real_example	1167:1256
essay061	common_ground	1258:1303
essay061	real_example	1387:1541
essay061	real_example	1543:1588
essay061	real_example	1590:1738
essay061	real_example	1740:1847
essay061	real_example	1849:1947
essay062	policy	324:397
essay062	policy	1686:1769
essay062	value	1771:1832
essay062	common_ground	1834:1918
essay062	policy	534:586
essay062	common_ground	469:511
essay062	common_ground	399:467
essay062	hypothetical_instance	588:740
essay062	value	1134:1257
essay062	common_ground	742:801
essay062	common_ground	803:862
essay062	hypothetical_instance	877:985
essay062	hypothetical_instance	1006:1066
essay062	hypothetical_instance	1068:1132
essay062	fact	1274:1396
essay062	common_ground	1398:1483
essay062	common_ground	1501:1546
essay062	real_example	1548:1656
essay063	fact	271:323
essay063	fact	2788:2831
essay063	fact	1119:1205
essay063	real_example	717:829
essay063	real_example	468:702
essay063	statistics	841:1016
essay063	statistics	1018:1111
essay063	common_ground	1646:1700
essay063	statistics	1401:1638
essay063	value	1230:1286
essay063	common_ground	1702:1822
essay063	common_ground	2478:2576
essay063	value	1851:1955
essay063	common_ground	1994:2102
essay063	common_ground	2245:2281
essay063	hypothetical_instance	2104:2238
essay063	common_ground	2292:2462
essay063	common_ground	1295:1369
essay064	policy	414:486
essay064	policy	2167:2272
essay064	value	2274:2375
essay064	value	504:660
essay064	common_ground	678:860
essay064	common_ground	880:1019
essay064	value	1038:1184
essay064	common_ground	1186:1276
essay064	common_ground	1278:1485
essay064	hypothetical_instance	1500:1587
essay064	value	1602:1683
essay064	statistics	1694:1869
essay064	common_ground	1884:1955
essay064	hypothetical_instance	1968:2137
essay065	policy	213:321
essay065	policy	1916:2026
essay065	value	2036:2147
essay065	value	758:846
essay065	common_ground	398:543
essay065	hypothetical_instance	566:745
essay065	fact	848:944
essay065	common_ground	946:1058
essay065	common_ground	1060:1193
essay065	common_ground	1204:1393
essay065	common_ground	1593:1698
essay065	value	1723:1799
essay065	common_ground	1809:1878
essay065	common_ground	1408:1511
essay065	common_ground	1526:1580
essay066	value	523:601
essay066	value	603:730
essay066	real_example	1044:1211
essay066	real_example	732:843
essay066	real_example	845:1033
essay066	value	1227:1334
essay066	real_example	1349:1521
essay066	real_example	1532:1649
essay066	value	1670:1771
essay066	common_ground	1797:1942
essay066	common_ground	1988:2061
essay066	value	2095:2193
essay067	policy	265:406
essay067	policy	2051:2110
essay067	value	2113:2159
essay067	value	408:546
essay067	common_ground	567:668
essay067	common_ground	697:917
essay067	hypothetical_instance	919:1062
essay067	common_ground	1286:1348
essay067	policy	1566:1618
essay067	hypothetical_instance	1444:1540
essay067	common_ground	1622:1699
essay067	common_ground	1710:1934
essay068	policy	91:191
essay068	policy	1378:1490
essay068	fact	1308:1376
essay068	value	299:549
essay068	value	890:1012
essay068	common_ground	553:607
essay068	common_ground	628:730
essay068	common_ground	732:800
essay068	common_ground	802:879
essay068	real_example	1014:1164
essay068	statistics	1166:1286
essay069	value	242:311
essay069	value	544:680
essay069	common_ground	698:902
essay069	common_ground	432:542
essay069	common_ground	350:430
essay069	value	925:1032
essay069	statistics	1034:1168
essay069	value	1755:1900
essay069	common_ground	1184:1326
essay069	value	1340:1422
essay069	common_ground	1453:1538
essay069	hypothetical_instance	1546:1627
essay070	value	371:441
essay070	value	1959:2043
essay070	common_ground	670:762
essay070	real_example	528:659
essay070	value	900:952
essay070	common_ground	777:884
essay070	statistics	973:1110
essay070	statistics	1125:1252
essay070	fact	1277:1371
essay070	hypothetical_instance	1384:1550
essay070	hypothetical_instance	1565:1695
essay070	hypothetical_instance	1702:1766
essay070	hypothetical_instance	1779:1942
essay071	value	343:435
essay071	value	1452:1531
essay071	value	444:537
essay071	fact	744:837
essay071	fact	1221:1382
essay071	common_ground	548:714
essay071	statistics	858:962
essay071	statistics	964:1140
essay071	common_ground	1389:1430
essay072	value	309:483
essay072	value	1524:1560
essay072	value	1590:1706
essay072	value	510:570
essay072	statistics	572:710
essay072	statistics	722:811
essay072	statistics	813:917
essay072	statistics	919:1084
essay072	common_ground	1305:1374
essay072	value	1386:1507
essay072	real_example	1235:1298
essay072	real_example	1139:1233
essay072	value	1086:1129
essay073	value	378:487
essay073	value	1697:1809
essay073	value	1105:1200
essay073	fact	498:541
essay073	real_example	556:661
essay073	statistics	676:799
essay073	real_example	816:1007
essay073	common_ground	1026:1097
essay073	value	1236:1307
